"Coarse sand"||"78901144"|"80285449"
"Fine sand"||"78901146"|"80284934"
"Loamy sand"||"78901148"|"80284936"
"Fine sand"||"78901153"|"80284802"
"Loamy sand"||"78901155"|"80284804"
"Fine sand"||"78901162"|"80285360"
"Fine sandy loam"||"78901164"|"80284813"
"Loamy sand"||"78901169"|"80284407"
|"Mucky peat"|"78901171"|"80284818"
|"Highly decomposed plant material"|"78901173"|"80284557"
"Sandy loam"||"78901178"|"80287234"
"Silt loam"||"78901180"|"80285381"
"Very fine sandy loam"||"78901187"|"80287229"
"Silty clay loam"||"78901189"|"80287231"
"Loamy sand"||"78901196"|"80287219"
"Coarse sand"||"78901198"|"80287337"
"Sandy loam"||"78901203"|"80285182"
"Sandy loam"||"78901205"|"80284675"
"Sand"||"78901214"|"80284541"
"Sand"||"78901221"|"80286202"
|"Highly decomposed plant material"|"78901223"|"80285682"
"Sandy loam"||"78901228"|"80285560"
"Loam"||"78901230"|"80285851"
"Sand"||"78901237"|"80285699"
"Sandy loam"||"78901239"|"80285573"
"Fine sandy loam"||"78901246"|"80283578"
"Fine sandy loam"||"78901248"|"80283846"
"Silt loam"||"78901253"|"80283850"
"Loam"||"78901255"|"80283851"
"Sandy loam"||"78901262"|"80283728"
"Sandy loam"||"78901264"|"80283856"
"Sandy loam"||"78901271"|"80284276"
"Sandy loam"||"78901273"|"80284138"
"Sandy loam"||"78901278"|"80283879"
"Loam"||"78901280"|"80284007"
|"Muck"|"78901287"|"80284386"
"Very fine sandy loam"||"78901289"|"80283965"
"Silt loam"||"78901296"|"80283971"
"Loam"||"78901298"|"80284129"
"Loamy sand"||"78901303"|"80284264"
"Coarse sandy loam"||"78901305"|"80284405"
"Coarse sand"||"78901312"|"80286836"
"Loamy sand"||"78901314"|"80286457"
|"Material"|"78901321"|"80284837"
"Sandy loam"||"78901323"|"80286209"
"Sandy loam"||"78901328"|"80285687"
"Sandy loam"||"78901330"|"80285559"
"Sand"||"78901337"|"80285565"
"Sandy loam"||"78901339"|"80285700"
"Loam"||"78901346"|"80283575"
"Sandy loam"||"78901348"|"80283442"
"Silt loam"||"78901353"|"80283584"
|"Bedrock"|"78901355"|"80283446"
"Loam"||"78901362"|"80283455"
"Loamy sand"||"78900661"|"80284880"
"Coarse sand"||"78900663"|"80285389"
"Fine sandy loam"||"78900668"|"80284734"
"Loam"||"78900670"|"80284735"
"Loam"||"78900677"|"80285241"
"Silt loam"||"78900679"|"80284738"
"Silt loam"||"78900686"|"80285398"
"Silt loam"||"78900688"|"80284885"
"Very fine sandy loam"||"78900693"|"80284748"
"Coarse sandy loam"||"78900695"|"80285405"
"Fine sand"||"78900702"|"80284758"
"Coarse sand"||"78900704"|"80284760"
"Loamy sand"||"78900711"|"80285423"
"Coarse sand"||"78900713"|"80285424"
"Loamy sand"||"78900718"|"80284907"
"Fine sand"||"78900720"|"80285271"
"Fine sand"||"78900727"|"80285436"
"Loamy sand"||"78900729"|"80285437"
"Coarse sand"||"78900736"|"80285445"
"Fine sand"||"78900738"|"80284922"
"Sandy loam"||"78900743"|"80284931"
"Fine sandy loam"||"78900745"|"80285450"
"Fine sandy loam"||"78900752"|"80284937"
"Coarse sand"||"78900754"|"80284939"
"Coarse sandy loam"||"78900761"|"80284525"
"Sand"||"78900763"|"80284526"
"Coarse sand"||"78900763"|"80284527"
"Loamy sand"||"78900768"|"80284729"
"Coarse sand"||"78900770"|"80284731"
"Sandy loam"||"78900772"|"80285388"
"Loamy sand"||"78900777"|"80284889"
"Coarse sand"||"78900779"|"80285407"
"Loamy sand"||"78900786"|"80285257"
"Fine sand"||"78900788"|"80285417"
"Loamy sand"||"78900793"|"80284767"
"Coarse sand"||"78900795"|"80285426"
"Fine sand"||"78900797"|"80285427"
"Fine sand"||"78900802"|"80285435"
"Loamy sand"||"78900804"|"80284913"
"Loamy sand"||"78900811"|"80285286"
"Coarse sand"||"78900813"|"80284786"
"Loamy sand"||"78900818"|"80285448"
"Coarse sand"||"78900820"|"80285294"
"Sandy loam"||"78900822"|"80285295"
"Coarse sand"||"78900827"|"80285299"
"Sandy loam"||"78900829"|"80285458"
"Fine sand"||"78900836"|"80285359"
"Silt loam"||"78900838"|"80285192"
"Sandy loam"||"78900845"|"80283984"
|"Muck"|"78900847"|"80284270"
"Loam"||"78900852"|"80284820"
"Loam"||"78900854"|"80284555"
"Fine sandy loam"||"78900861"|"80284413"
"Loam"||"78900863"|"80284416"
"Silt loam"||"78900870"|"80284948"
|"Mucky peat"|"78900872"|"80285218"
|"Muck"|"78900877"|"80285625"
|"Mucky peat"|"78900879"|"80285803"
"Coarse sandy loam"||"78900886"|"80286173"
"Fine sand"||"78900888"|"80286174"
"Sandy loam"||"78900895"|"80286182"
"Fine sandy loam"||"78900897"|"80286183"
"Fine sand"||"78900902"|"80285831"
"Loamy sand"||"78900904"|"80286188"
"Loamy sand"||"78900911"|"80285667"
"Loamy fine sand"||"78900913"|"80285671"
"Coarse sand"||"78900920"|"80288228"
"Sandy loam"||"78900922"|"80288231"
"Silt loam"||"78900927"|"80287814"
"Sandy loam"||"78900929"|"80287019"
"Loamy sand"||"78900936"|"80287436"
"Sandy loam"||"78900938"|"80287440"
"Sand"||"78900945"|"80287446"
"Coarse sand"||"78900947"|"80287447"
"Sand"||"78900952"|"80286455"
"Coarse sand"||"78900954"|"80287247"
"Sand"||"78900961"|"80287256"
"Coarse sand"||"78900961"|"80287257"
"Sand"||"78900963"|"80284993"
"Coarse sand"||"78900963"|"80284994"
"Loamy sand"||"78900970"|"80285000"
"Sand"||"78900972"|"80285004"
"Loam"||"78900977"|"80287280"
"Silt loam"||"78900979"|"80287710"
"Fine sand"||"78900986"|"80285346"
"Loamy fine sand"||"78900988"|"80285789"
"Fine sandy loam"||"78900995"|"80285800"
"Sandy loam"||"78900997"|"80285506"
"Fine sand"||"78901002"|"80285631"
"Fine sand"||"78901004"|"80285508"
"Loamy fine sand"||"78901006"|"80285509"
"Sandy loam"||"78901011"|"80286165"
"Sand"||"78901013"|"80286166"
"Loamy fine sand"||"78901020"|"80286168"
"Loamy fine sand"||"78901022"|"80285806"
"Sandy loam"||"78901027"|"80286172"
"Coarse sand"||"78901029"|"80285645"
"Sandy loam"||"78901031"|"80285649"
"Loamy sand"||"78901036"|"80285821"
"Fine sand"||"78901038"|"80285528"
"Coarse sand"||"78901045"|"80286189"
"Fine sand"||"78901047"|"80286193"
"Loamy fine sand"||"78901052"|"80286197"
"Sandy loam"||"78901054"|"80286198"
"Sandy loam"||"78901056"|"80287001"
"Silt loam"||"78901061"|"80287421"
"Sandy loam"||"78901063"|"80287425"
"Sandy loam"||"78901070"|"80287018"
"Sand"||"78901072"|"80288245"
"Loam"||"78901079"|"80288253"
"Silt loam"||"78901081"|"80288255"
"Sand"||"78901086"|"80287033"
"Coarse sand"||"78901088"|"80286831"
"Coarse sand"||"78901095"|"80285245"
"Coarse sand"||"78901097"|"80285246"
"Loamy sand"||"78901104"|"80284751"
"Fine sand"||"78901106"|"80285255"
"Coarse sand"||"78901111"|"80284896"
"Fine sand"||"78901113"|"80285262"
"Loamy sand"||"78901120"|"80284773"
"Coarse sand"||"78901122"|"80285428"
"Loamy sand"||"78901129"|"80284912"
"Coarse sand"||"78901131"|"80284915"
"Fine sand"||"78901136"|"80285443"
"Coarse sand"||"78901138"|"80284789"
"Loamy sand"||"78901145"|"80284929"
"Coarse sand"||"78901147"|"80284935"
"Coarse sand"||"78901154"|"80284803"
"Fine sand"||"78901156"|"80284677"
"Fine sandy loam"||"78901161"|"80284523"
"Sandy loam"||"78901163"|"80284529"
"Sand"||"78901170"|"80284549"
"Sandy loam"||"78901172"|"80284823"
"Coarse sand"||"78901179"|"80285379"
"Loam"||"78901181"|"80284957"
"Silt loam"||"78901186"|"80287225"
"Silt loam"||"78901188"|"80287230"
"Coarse sand"||"78901195"|"80287218"
"Fine sand"||"78901197"|"80287336"
"Loam"||"78901204"|"80285183"
"Loam"||"78901206"|"80284520"
"Loamy sand"||"78901211"|"80284539"
"Sand"||"78901220"|"80285840"
"Silt loam"||"78901222"|"80285547"
"Sandy loam"||"78901229"|"80286215"
"Sandy loam"||"78901231"|"80285852"
"Sand"||"78901236"|"80285698"
"Loam"||"78901238"|"80286230"
"Loam"||"78901245"|"80283577"
"Sandy loam"||"78901247"|"80283440"
"Very fine sandy loam"||"78901254"|"80283583"
"Fine sandy loam"||"78901256"|"80283721"
"Fine sandy loam"||"78901261"|"80283727"
"Loam"||"78901263"|"80283451"
"Sandy loam"||"78901265"|"80283593"
"Loam"||"78901270"|"80284275"
"Loam"||"78901272"|"80284136"
"Sandy loam"||"78901279"|"80284143"
"Sandy loam"||"78901281"|"80284144"
|"Muck"|"78901286"|"80284385"
"Silt loam"||"78901288"|"80284122"
"Silty clay loam"||"78901290"|"80283966"
"Loam"||"78901295"|"80283970"
"Silt loam"||"78901297"|"80284254"
"Loamy coarse sand"||"78901304"|"80284543"
"Sandy loam"||"78901306"|"80284544"
"Sandy loam"||"78901313"|"80284982"
"Loam"||"78901315"|"80284983"
"Loamy sand"||"78901320"|"80285204"
"Loam"||"78901322"|"80285554"
"Loam"||"78901329"|"80285688"
"Sandy loam"||"78901331"|"80285850"
|"Highly decomposed plant material"|"78901338"|"80285568"
"Loam"||"78901340"|"80285701"
"Sandy loam"||"78901345"|"80283842"
"Loam"||"78901347"|"80283579"
"Very fine sandy loam"||"78901354"|"80283585"
"Sandy loam"||"78901367"|"80283861"
"Loam"||"78901368"|"80283864"
"Loam"||"78901369"|"80284277"
|"Mucky peat"|"78901383"|"80284246"
|"Muck"|"78901384"|"80284119"
|"Peat"|"78901385"|"80284382"
"Loamy sand"||"78901386"|"80284383"
"Loamy coarse sand"||"78901399"|"80283977"
"Coarse sand"||"78901400"|"80283978"
"Loamy sand"||"78901401"|"80284263"
"Very fine sandy loam"||"78901402"|"80284402"
"Fine sand"||"78901416"|"80287568"
"Loamy fine sand"||"78901417"|"80286904"
"Sand"||"78901418"|"80287569"
"Sandy loam"||"78901419"|"80284560"
"Loamy fine sand"||"78901433"|"80287876"
"Sand"||"78901434"|"80287487"
"Loamy fine sand"||"78901435"|"80287076"
"Sandy loam"||"78901436"|"80283463"
"Sandy loam"||"78901449"|"80283740"
"Silt loam"||"78901450"|"80283335"
"Loam"||"78901451"|"80283741"
"Sandy loam"||"78901452"|"80283339"
"Silt loam"||"78901453"|"80283745"
"Silt loam"||"78901466"|"80283490"
"Sandy loam"||"78901467"|"80283350"
"Sandy loam"||"78901468"|"80283493"
"Silt loam"||"78901469"|"80283494"
"Silt loam"||"78901483"|"80283506"
"Loam"||"78901484"|"80283772"
"Sandy loam"||"78901485"|"80283775"
"Silt loam"||"78901486"|"80283372"
"Loam"||"78901500"|"80283656"
"Sandy loam"||"78901501"|"80283787"
"Silt loam"||"78901502"|"80283384"
"Sandy loam"||"78901503"|"80283520"
"Loam"||"78901516"|"80283803"
"Loam"||"78901517"|"80283673"
"Sandy loam"||"78901518"|"80283401"
"Silt loam"||"78901519"|"80283808"
"Sandy loam"||"78901533"|"80287716"
"Sandy loam"||"78901534"|"80287717"
"Silt loam"||"78901535"|"80286497"
"Sand"||"78901536"|"80286461"
"Coarse sand"||"78901550"|"80287690"
"Loamy sand"||"78901551"|"80287691"
"Sand"||"78901552"|"80287692"
"Coarse sand"||"78901552"|"80287693"
"Sand"||"78901553"|"80285006"
"Coarse sand"||"78901553"|"80285007"
"Sandy loam"||"78901566"|"80286493"
"Silt loam"||"78901567"|"80287286"
"Fine sandy loam"||"78901568"|"80287287"
"Silt loam"||"78901569"|"80286498"
"Sandy loam"||"78901570"|"80285028"
"Sandy loam"||"78901583"|"80286512"
"Silt loam"||"78901584"|"80287307"
"Fine sandy loam"||"78901585"|"80287308"
"Fine sandy loam"||"78901586"|"80288266"
"Silt loam"||"78901600"|"80287847"
"Sandy loam"||"78901601"|"80287848"
"Fine sandy loam"||"78901602"|"80287052"
"Silt loam"||"78901603"|"80288285"
"Loamy sand"||"78901617"|"80287478"
"Silt loam"||"78901618"|"80288299"
"Sandy loam"||"78901619"|"80288300"
"Sandy loam"||"78901620"|"80288301"
"Coarse sandy loam"||"78901633"|"80288901"
"Loam"||"78901634"|"80287941"
"Loam"||"78901635"|"80288603"
"Coarse sandy loam"||"78901636"|"80288902"
"Sand"||"78901650"|"80285499"
"Coarse sand"||"78901651"|"80285344"
"Fine sand"||"78901652"|"80285788"
|"Muck"|"78901653"|"80285797"
"Fine sand"||"78901667"|"80285819"
"Coarse sand"||"78901668"|"80285520"
"Loamy sand"||"78901669"|"80286176"
"Fine sand"||"78901670"|"80285521"
"Sandy loam"||"78901683"|"80286194"
"Coarse sandy loam"||"78901684"|"80285540"
"Fine sandy loam"||"78901685"|"80286195"
"Fine sand"||"78901686"|"80285541"
"Coarse sand"||"78901687"|"80285836"
"Sandy loam"||"78901700"|"80287009"
"Sandy loam"||"78901701"|"80287423"
"Silt loam"||"78901702"|"80288233"
"Sand"||"78901703"|"80288234"
"Silt loam"||"78901717"|"80287823"
"Sandy loam"||"78901718"|"80287824"
"Sandy loam"||"78901719"|"80287825"
"Silt loam"||"78901720"|"80287023"
"Loamy fine sand"||"78901733"|"80286454"
"Coarse sand"||"78901734"|"80284981"
"Sand"||"78901735"|"80286463"
"Coarse sand"||"78901735"|"80286464"
"Coarse sand"||"78901736"|"80284988"
"Loamy sand"||"78901737"|"80286465"
"Loamy sand"||"78901750"|"80285015"
"Sand"||"78901751"|"80287702"
"Sand"||"78901752"|"80287703"
"Coarse sand"||"78901753"|"80287704"
"Sandy loam"||"78901767"|"80283327"
"Silt loam"||"78901768"|"80283732"
"Loam"||"78901769"|"80283599"
"Loam"||"78901770"|"80283603"
"Sandy loam"||"78901784"|"80283751"
"Silt loam"||"78901785"|"80283482"
"Sandy loam"||"78901786"|"80283483"
"Sandy loam"||"78901787"|"80283349"
"Loam"||"78901800"|"80283636"
"Sandy loam"||"78901801"|"80283640"
"Silt loam"||"78901802"|"80283366"
"Sandy loam"||"78901803"|"80283770"
"Sandy loam"||"78901804"|"80283771"
"Loam"||"78901817"|"80283653"
"Sandy loam"||"78901818"|"80283657"
"Silt loam"||"78901819"|"80283786"
"Loam"||"78901820"|"80283383"
"Sandy loam"||"78901834"|"80283670"
"Silt loam"||"78901835"|"80283671"
"Sandy loam"||"78901836"|"80283672"
"Sandy loam"||"78901837"|"80283674"
"Sandy loam"||"78901850"|"80288090"
|"Stones"|"78901851"|"80288487"
"Silt loam"||"78901852"|"80288091"
"Silt loam"||"78901853"|"80289148"
"Sandy loam"||"78901854"|"80289149"
"Fine sand"||"78901867"|"80284672"
"Fine sand"||"78901868"|"80284518"
"Fine sand"||"78901869"|"80284673"
"Fine sand"||"78901870"|"80287205"
"Loam"||"78901884"|"80286203"
"Coarse sandy loam"||"78901885"|"80285548"
"Silt loam"||"78901886"|"80285677"
"Loam"||"78901887"|"80285678"
"Sandy loam"||"78901901"|"80285844"
"Sandy loam"||"78901902"|"80285553"
"Sandy loam"||"78901903"|"80286208"
|"Highly decomposed plant material"|"78901904"|"80286216"
"Sandy loam"||"78901917"|"80285858"
"Loam"||"78901918"|"80285859"
"Sandy loam"||"78901919"|"80285860"
"Sandy loam"||"78901920"|"80285861"
|"Highly decomposed plant material"|"78901921"|"80286227"
"Sandy loam"||"78901934"|"80283714"
"Loam"||"78901935"|"80283439"
"Fine sandy loam"||"78901936"|"80283845"
|"Bedrock"|"78901937"|"80283852"
"Loam"||"78901951"|"80283868"
